
millis,ldr_raw,ldr_ema,joyx_raw,joyx_ema,joyy_raw,joyy_ema,mic_raw,mic_ema,sw
13456,61,64.5,513,512.5,520,520.0,45,45.6,0
13506,61,63.6,513,512.6,521,520.2,46,45.7,0
13556,60,62.7,513,512.7,519,519.9,47,46.0,0
13606,60,62.0,513,512.8,520,519.9,46,46.0,0
13656,59,61.3,512,512.6,520,520.0,45,45.8,0
13706,58,60.5,512,512.4,521,520.2,46,45.8,0
13756,57,59.6,512,512.3,519,519.9,46,45.9,0
13806,58,59.2,512,512.2,520,519.9,46,45.9,0
13856,57,58.6,513,512.4,521,520.2,45,45.7,0
13906,57,58.2,512,512.3,519,519.9,46,45.8,0
13956,56,57.7,512,512.2,521,520.2,45,45.6,0
14006,57,57.5,513,512.4,520,520.1,45,45.4,0
14056,56,57.1,513,512.6,520,520.1,46,45.6,0
14106,55,56.6,513,512.7,519,519.8,45,45.4,0
14156,54,55.9,512,512.5,521,520.1,46,45.6,0
14206,53,55.2,512,512.4,520,520.1,45,45.4,0
14256,54,54.9,512,512.3,520,520.1,46,45.6,0
14306,55,54.9,512,512.2,520,520.0,45,45.4,0
14356,54,54.7,512,512.2,520,520.0,46,45.6,0
14406,53,54.3,512,512.1,519,519.8,45,45.4,0
14456,52,53.7,512,512.1,520,519.8,45,45.3,0
14507,53,53.5,512,512.1,520,519.9,46,45.5,0
14557,52,53.1,512,512.1,520,519.9,45,45.4,0
14607,52,52.9,512,512.0,520,519.9,46,45.5,0
14657,51,52.4,512,512.0,520,519.9,45,45.4,0
14707,52,52.3,512,512.0,520,520.0,46,45.5,0
14757,51,52.0,512,512.0,520,520.0,45,45.4,0
14807,52,52.0,512,512.0,520,520.0,46,45.6,0
14857,51,51.7,513,512.3,520,520.0,45,45.4,0
14907,51,51.6,512,512.2,520,520.0,46,45.6,0
14957,50,51.2,513,512.4,520,520.0,46,45.7,0
15007,51,51.1,513,512.5,519,519.7,46,45.8,0
15057,50,50.8,512,512.4,520,519.8,46,45.8,0
15107,50,50.6,512,512.3,520,519.9,46,45.9,0
15157,50,50.5,512,512.2,521,520.1,46,45.9,0
15207,49,50.1,512,512.2,520,520.1,45,45.7,0
15257,49,49.8,513,512.4,520,520.1,46,45.8,0
15307,49,49.6,513,512.5,520,520.1,45,45.6,0
15357,49,49.5,513,512.7,520,520.0,46,45.7,0
15407,49,49.3,512,512.5,520,520.0,46,45.8,0
15457,50,49.5,513,512.6,520,520.0,46,45.8,0
15507,48,49.1,512,512.5,520,520.0,46,45.9,0
15557,50,49.4,512,512.3,520,520.0,45,45.6,0
15607,48,49.0,512,512.3,520,520.0,46,45.7,0
15657,49,49.0,513,512.4,520,520.0,45,45.6,0
15707,48,48.8,512,512.3,521,520.3,46,45.7,0
15757,49,48.8,513,512.5,520,520.2,45,45.5,0
15807,48,48.6,512,512.4,520,520.1,46,45.6,0
15857,48,48.5,513,512.5,520,520.1,45,45.5,0
15907,48,48.3,512,512.4,520,520.1,46,45.6,0
15958,49,48.5,512,512.3,520,520.1,45,45.5,0
16008,47,48.1,512,512.2,520,520.0,46,45.6,0
16058,48,48.1,512,512.2,519,519.8,45,45.4,0
16108,47,47.8,512,512.1,520,519.8,46,45.6,0
16158,46,47.4,513,512.3,520,519.9,45,45.4,0
16208,47,47.3,512,512.3,520,519.9,45,45.3,0
16258,48,47.5,512,512.2,520,519.9,46,45.5,0
16308,47,47.3,512,512.1,520,519.9,45,45.4,0
16358,48,47.5,512,512.1,521,520.2,46,45.5,0
16408,47,47.4,512,512.1,520,520.2,45,45.4,0
16458,47,47.3,512,512.1,520,520.1,46,45.5,0
16508,46,47.0,512,512.0,520,520.1,46,45.7,0
16558,47,47.0,512,512.0,520,520.1,46,45.7,0
16608,47,47.0,512,512.0,519,519.8,45,45.6,0
16658,47,47.0,512,512.0,521,520.1,46,45.7,0
16708,48,47.2,512,512.0,521,520.3,46,45.8,0
16758,47,47.2,512,512.0,519,520.0,45,45.6,0
16808,46,46.9,513,512.3,520,520.0,46,45.7,0
16858,47,46.9,512,512.2,520,520.0,46,45.8,0
16908,47,46.9,512,512.1,520,520.0,46,45.8,0
16958,47,47.0,513,512.4,519,519.7,44,45.4,0
17008,47,47.0,512,512.3,520,519.8,45,45.3,0
17058,47,47.0,513,512.5,520,519.9,45,45.2,0
17108,46,46.7,513,512.6,520,519.9,47,45.7,0
17158,45,46.3,512,512.4,519,519.7,44,45.2,0
17208,47,46.5,512,512.3,520,519.8,46,45.4,0
17258,45,46.1,512,512.2,520,519.8,46,45.6,0
17308,46,46.1,513,512.4,520,519.9,45,45.4,0
17358,47,46.3,513,512.6,520,519.9,46,45.6,0
17408,47,46.5,512,512.4,521,520.2,45,45.4,0
17458,48,46.9,512,512.3,520,520.1,46,45.6,0
17508,46,46.6,512,512.2,520,520.1,45,45.4,0
17558,47,46.7,512,512.2,520,520.1,46,45.6,0
17608,48,47.1,512,512.1,520,520.1,45,45.4,0
17658,47,47.0,513,512.4,521,520.3,46,45.6,0
17708,46,46.8,512,512.3,520,520.2,44,45.2,0
17758,47,46.8,513,512.4,520,520.2,46,45.4,0
17808,47,46.9,513,512.6,520,520.1,46,45.5,0
17858,47,46.9,512,512.4,520,520.1,45,45.4,0
17908,46,46.7,512,512.3,521,520.3,44,45.1,0
17958,47,46.8,512,512.2,520,520.2,48,45.8,0
18008,48,47.1,512,512.2,520,520.2,37,43.6,0
18058,47,47.1,513,512.4,520,520.1,45,43.9,0
18108,46,46.8,512,512.3,520,520.1,36,42.0,0
18158,46,46.6,512,512.2,520,520.1,33,39.7,0
18208,46,46.4,512,512.2,520,520.1,34,38.3,0
18258,45,46.1,512,512.1,520,520.0,40,38.7,0
18308,46,46.1,512,512.1,520,520.0,36,38.0,0
18358,45,45.8,513,512.3,520,520.0,74,47.0,0
18408,46,45.8,512,512.2,520,520.0,143,71.0,0
18458,44,45.4,513,512.4,520,520.0,60,68.3,0
18508,45,45.3,513,512.6,520,520.0,53,64.4,0
18558,45,45.2,512,512.4,520,520.0,57,62.6,0
18608,45,45.2,512,512.3,521,520.3,48,58.9,0
18658,46,45.4,512,512.2,521,520.4,53,57.5,0
18708,45,45.3,513,512.4,520,520.3,47,54.8,0
18758,46,45.5,512,512.3,520,520.2,46,52.6,0
18808,44,45.1,512,512.2,520,520.2,48,51.5,0
18859,46,45.3,512,512.2,520,520.1,46,50.1,0
18909,45,45.2,513,512.4,520,520.1,48,49.6,0
18959,46,45.4,512,512.3,519,519.8,46,48.7,0
19009,45,45.3,512,512.2,521,520.1,47,48.3,0
19059,45,45.2,512,512.2,520,520.1,45,47.4,0
19109,45,45.2,513,512.4,520,520.1,46,47.1,0
19159,44,44.9,512,512.3,520,520.1,45,46.6,0
19209,44,44.7,512,512.2,521,520.3,46,46.4,0
19259,43,44.2,513,512.4,520,520.2,45,46.1,0
19309,46,44.7,512,512.3,520,520.2,46,46.1,0
19359,45,44.8,512,512.2,519,519.9,45,45.8,0
19409,46,45.1,512,512.2,520,519.9,46,45.8,0
19459,44,44.8,512,512.1,519,519.7,46,45.9,0
19509,45,44.9,513,512.3,520,519.8,46,45.9,0
19559,44,44.6,512,512.3,520,519.8,46,45.9,0
19609,45,44.7,512,512.2,520,519.9,45,45.7,0
19659,45,44.8,512,512.1,521,520.1,46,45.8,0
19709,45,44.8,512,512.1,519,519.9,47,46.1,0
19759,45,44.9,513,512.3,521,520.1,46,46.1,0
19809,44,44.7,513,512.5,519,519.9,45,45.8,0
19859,44,44.5,512,512.4,520,519.9,46,45.8,0
19909,43,44.1,512,512.3,519,519.7,46,45.9,0
19959,46,44.6,512,512.2,520,519.8,47,46.2,0
20009,44,44.4,512,512.2,520,519.8,46,46.1,0
20059,45,44.6,512,512.1,520,519.9,46,46.1,0
20109,45,44.7,512,512.1,520,519.9,46,46.1,0
20159,45,44.8,513,512.3,520,519.9,46,46.1,0
20209,44,44.6,512,512.2,520,519.9,46,46.0,0
20259,44,44.4,513,512.4,519,519.7,45,45.8,0
20310,46,44.8,513,512.6,520,519.8,46,45.8,0
20360,43,44.4,513,512.7,520,519.8,45,45.6,0
20410,44,44.3,512,512.5,520,519.9,46,45.7,0
20460,43,44.0,512,512.4,520,519.9,52,47.3,0
20510,46,44.5,512,512.3,520,519.9,32,43.5,0
20560,45,44.6,513,512.5,520,519.9,31,40.4,0
20610,45,44.7,512,512.3,521,520.2,32,38.3,0
20660,44,44.5,512,512.3,520,520.2,65,44.9,0
20710,44,44.4,512,512.2,520,520.1,127,65.5,0
20760,44,44.3,512,512.1,520,520.1,1021,304.3,0
20810,43,44.0,512,512.1,520,520.1,932,461.3,0
20860,44,44.0,513,512.3,520,520.0,1019,600.7,0
20910,43,43.7,512,512.2,520,520.0,43,461.3,0
20960,44,43.8,512,512.2,520,520.0,151,383.7,0
21010,43,43.6,512,512.1,519,519.8,37,297.0,0
21060,43,43.5,512,512.1,520,519.8,31,230.5,0
21110,42,43.1,512,512.1,519,519.6,188,219.9,0
21160,44,43.3,512,512.1,520,519.7,273,233.2,0
21210,43,43.2,513,512.3,519,519.5,47,186.6,0
21260,43,43.2,513,512.5,520,519.7,46,151.5,0
21310,43,43.1,512,512.4,520,519.7,46,125.1,0
21360,43,43.1,513,512.5,520,519.8,45,105.1,0
21410,44,43.3,512,512.4,520,519.9,47,90.6,0
21460,43,43.2,513,512.5,520,519.9,45,79.2,0
21510,44,43.4,512,512.4,520,519.9,46,70.9,0
21560,43,43.3,512,512.3,520,519.9,47,64.9,0
21610,44,43.5,512,512.2,520,520.0,46,60.2,0
21660,42,43.1,512,512.2,520,520.0,46,56.6,0
21710,44,43.3,512,512.1,520,520.0,47,54.2,0
21760,43,43.3,513,512.3,520,520.0,46,52.2,0
21810,43,43.2,512,512.3,520,520.0,46,50.6,0
21860,44,43.4,513,512.4,520,520.0,45,49.2,0
21910,43,43.3,512,512.3,519,519.7,45,48.2,0
21960,44,43.5,512,512.3,520,519.8,46,47.6,0
22010,43,43.4,512,512.2,520,519.9,48,47.7,0
22060,44,43.5,512,512.1,521,520.1,47,47.5,0
22110,44,43.6,512,512.1,520,520.1,46,47.2,0
22160,44,43.7,512,512.1,520,520.1,46,46.9,0
22210,43,43.5,512,512.1,520,520.1,46,46.6,0
22260,44,43.7,513,512.3,520,520.0,47,46.7,0
22310,43,43.5,512,512.2,520,520.0,48,47.1,0
22360,44,43.6,512,512.2,520,520.0,45,46.5,0
22410,43,43.5,512,512.1,520,520.0,47,46.7,0
22460,44,43.6,513,512.3,520,520.0,45,46.2,0
22510,44,43.7,512,512.3,520,520.0,46,46.2,0
22560,43,43.5,512,512.2,520,520.0,45,45.9,0
22610,44,43.6,512,512.1,520,520.0,46,45.9,0
22660,43,43.5,512,512.1,520,520.0,45,45.7,0
22710,44,43.6,513,512.3,520,520.0,47,46.0,0
